브랜드,소스/매체,구분,매체,디바이스
DO,naver_pc / cpc,SA,네이버,PC
DO,naverbs_pc / cpm,BSA,네이버,PC
DO,google / sitelink,SA,구글,PC
DO,google_pc / cpc,SA,구글,PC
DO,google-sa / cpc,SA,구글,PC
DO,naver_mo / cpc,SA,네이버,모바일
DO,meta / da,DA,메타,모바일
DO,naver-sa-pc / cpc,SA,네이버,PC
DO,saramin / edm,DA,사람인,PC
DO,saramin / banner,DA,사람인,PC
DO,google / cpc,SA,구글,PC
HR,meta / cpc,DA,메타,모바일
HR,saramin / edm,DA,사람인,PC
HR,saramin / cpc,DA,사람인,PC
HR,google / cpc,SA,구글,PC
HR,google-sa / cpc,SA,구글,PC
HR,google_pc / cpc,SA,구글,PC
HR,naver-sa-pc / cpc,SA,네이버,PC
HR,naver-sa-mo / cpc,SA,네이버,모바일
HR,naverbs_pc / cpm,BSA,네이버,PC
HR,naver_pc / cpc,SA,네이버,PC
HR,naver_mo / cpc,SA,네이버,모바일
HR,saramin / banner,DA,사람인,PC
HR,power / nblog,SA,파워컨텐츠,PC
HR,saramin / edm,DA,사람인,PC
HR,saramin / cpc,DA,사람인,PC
HR,saramin / da,DA,사람인,PC
HR,naverbs_pc / homelink,BSA,네이버,PC
HR,meta / paid_social,DA,메타,모바일
DO,meta / paid_social,DA,메타,모바일
